,tic,date,close,open,high,low,prev_close,adjfactor,turnover,volume,adjcp,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,prev_adjfactor,open_r,high_r,low_r,close_r,turnover_r,volume_r
3248,600436.SH,2021-05-17,377.58,373.58,380.6,372.09,373.58,6.54100014,1873473615.0,4987746.0,2469.750833,0.9999999999999998,0.7110155191145064,0.7617584257498569,0.6397088339,0.6093838989499651,0.4656776922609185,0.7456999989632657,0.7306596610682199,6.54100014,0.5158929310634822,0.5548090687482201,0.5064483093751537,0.5220988530185711,0.5936435796675626,0.5337192127099711
3248,600438.SH,2021-05-17,39.63,37.4,39.94,37.4,37.4,10.93068644,3609518366.0,91938955.0,433.1831036,0.4718678931690406,0.0748019554094826,0.1060340293418171,0.5628782524,0.5844215132499666,0.2942541028593378,0.0759449522142434,0.0836716852199767,10.93068644,0.5158929310634822,0.7647679595245862,0.5261893630286418,0.7327039479138499,0.6676719226292788,0.6016070300958138
3248,600519.SH,2021-05-17,2057.96,2025.1,2085.2,2025.1,2009.85,7.61053482,9178509985.0,4452400.0,15662.17624,0.0,1.0,1.0,0.5109304447,0.5170635222799704,0.1229585044603205,1.0,1.0,7.61053482,0.5527236306221606,0.6359015036458613,0.5635284707157454,0.5800456733394956,0.7732495419826816,0.5860399089619219
3248,600570.SH,2021-05-17,88.71,86.42,90.89,86.32,87.29,24.39813235,889447587.0,9953134.0,2164.358321,0.4210444318649048,0.1788153462416941,0.2256716577446449,0.5017711317,0.5311113152799696,0.1650170270237597,0.1935034524276936,0.2042060318703382,24.39813235,0.4670868142840877,0.6519943236389519,0.470990301711321,0.5465452277610212,0.509883892108399,0.5666178947450274
3248,600585.SH,2021-05-17,50.32,49.86,50.8,49.86,49.83,4.75081451,1194838879.0,23673109.0,239.0609861,0.3996550867405041,0.0957207478978845,0.1483462457655444,0.477782317,0.5088776157249709,0.090752699450172,0.1115151614184778,0.1185666924251444,4.75081451,0.5188254843342739,0.557762257820959,0.529162397037996,0.5182450589314086,0.5430119095613205,0.5796546099105028
3248,600588.SH,2021-05-17,34.63,32.0,34.82,32.0,31.65,55.45140236,1357259281.0,39405376.0,1920.282064,0.3780974868615805,0.0703155640238933,0.1052584750256316,0.475029896,0.4780434594799727,0.039920469261125,0.0763288605922928,0.0804721835482567,55.10511401,0.6000020683679977,0.9253247496616908,0.6114595363599732,0.9034990676786676,0.5573436092244327,0.6530945315282288
3248,600690.SH,2021-05-17,29.43,29.2,29.67,28.71,28.8,37.79947959,1383724606.0,47191041.0,1112.438684,0.3909074822534553,0.0642783260245468,0.1001918714271303,0.4506574621,0.4129213936499764,0.2282384127803618,0.0694563705817663,0.0699629604698031,37.79947959,0.5831000217559228,0.6044968037061615,0.5107286445338081,0.571063080973952,0.5595162761212511,0.572714485403638
3248,600809.SH,2021-05-17,443.27,433.7,447.98,432.11,434.66,4.42643201,2056841756.0,4638301.0,1962.104517,0.9999999999999998,0.8709853783458776,0.8505077555528954,0.6294681529,0.5716266956499673,0.3911133988525934,0.8675769004271034,0.8371452867763652,4.42643201,0.5051196536736106,0.6063846863314584,0.4971245382663964,0.5620435385051977,0.6041721821623791,0.563283563928731
3248,600837.SH,2021-05-17,11.32,11.46,11.53,11.29,11.63,23.00316371,916044639.0,80390331.0,260.3958132,0.4168230228073849,0.0199051559151855,0.0571881514673855,0.4829759722,0.5952764049999659,0.3347458008430599,0.0225445841019005,0.0243633797381612,23.00316371,0.4441450551047624,0.4333016421107162,0.3796256891053341,0.3542614812363008,0.5131864513667753,0.523709040461808
3248,600887.SH,2021-05-17,39.66,39.2,39.96,39.02,39.27,75.67556114,2502771479.0,63130352.0,3001.292755,0.4002240639861359,0.0776899103663703,0.1214774376884883,0.4818222157999999,0.4936549059199717,0.0058731263564877,0.087684067773885,0.0931550238818822,75.67556114,0.5071999113545409,0.5494645634948305,0.4946418317758534,0.5186766201269697,0.6263124196297166,0.5682922353260087
